TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,4
227.14,1,5,0,18.0,3,294.0,1.0,341.94,3
45.85,1,20,0,20.0,3,92.0,1.0,1659.15,3
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,2
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,4
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,4
267.9,1,35,2,20.0,3,160.0,1.0,596.16,3
496.03,1,37,1,61.0,0,265.0,1.0,12904.66,2
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,2
35.76,1,5,1,23.0,3,122.0,1.0,611.86,3
28.53,1,42,2,62.0,0,99.0,1.0,8670.53,4
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,2
74.86,1,26,1,70.0,0,125.0,1.0,6921.48,2
231.91,1,22,0,34.0,1,165.0,1.0,112.76,0
126.21,1,3,1,75.0,2,268.0,1.0,5669.66,0
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,4
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,3
777.88,1,15,1,31.0,1,17.0,1.0,6825.55,1
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,0
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,4
260.88,1,10,1,22.0,3,36.0,1.0,903.05,3
169.47,1,6,2,24.0,3,19.0,1.0,1806.16,3
73.23,1,32,1,26.0,3,14.0,1.0,787.74,3
792.57,1,3,0,19.0,3,164.0,1.0,770.37,1
237.06,1,31,2,71.0,2,46.0,1.0,1182.77,4
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,2
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,2
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,0
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,2
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,0
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,1
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,2
20.36,1,40,1,62.0,2,75.0,1.0,2762.48,0
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,1
307.41,1,20,0,19.0,3,14.0,1.0,1057.0,3
11.18,1,1,2,43.0,0,161.0,1.0,5956.89,4
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,2
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,0
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,1
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,1
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,2
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,2
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,1
116.86,1,21,0,55.0,1,171.0,1.0,6706.56,0
74.88,1,1,0,25.0,3,202.0,1.0,420.67,3
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,2
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,4
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,0
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,4
506.24,1,6,0,58.0,1,64.0,1.0,230.09,0
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,1
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,2
581.65,1,4,0,22.0,3,176.0,1.0,480.19,1
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,2
91.48,1,13,0,51.0,0,141.0,1.0,14942.78,2
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,2
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,1
588.54,1,32,1,32.0,1,130.0,1.0,714.45,1
173.5,1,26,0,21.0,3,282.0,1.0,1306.91,3
40.66,1,21,1,59.0,2,156.0,1.0,1153.84,0
34.07,1,30,1,22.0,3,81.0,1.0,8709.77,3
492.06,1,14,2,23.0,3,74.0,1.0,857.9,3
73.55,1,1,0,51.0,1,158.0,1.0,2812.06,0
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,1
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,0
218.96,1,39,0,18.0,3,13.0,1.0,754.21,3
227.39,1,1,2,18.0,3,65.0,1.0,751.09,3
341.15,1,38,2,18.0,3,148.0,1.0,511.37,3
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,2
75.15,1,4,0,23.0,3,154.0,1.0,1092.92,3
23.3,1,20,0,59.0,1,161.0,1.0,6711.15,0
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,1
12.82,1,13,0,44.0,1,156.0,1.0,9045.19,2
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,4
97.98,1,10,1,72.0,2,18.0,1.0,7460.33,0
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,4
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,2
44.52,1,12,2,28.0,3,205.0,1.0,314.28,3
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,4
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,2
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,4
345.22,1,14,1,69.0,2,253.0,1.0,4046.58,0
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,0
671.73,1,42,1,58.0,1,54.0,1.0,5211.88,1
255.04,1,39,0,45.0,1,152.0,1.0,6217.86,0
45.77,1,30,2,25.0,3,109.0,1.0,5978.12,3
47.42,1,36,0,64.0,0,28.0,1.0,8253.52,2
35.99,1,24,1,63.0,2,129.0,1.0,4489.79,0
48.72,1,41,1,21.0,3,17.0,1.0,816.08,3
43.46,1,4,0,25.0,3,80.0,1.0,578.06,3
443.79,1,19,0,53.0,2,87.0,1.0,3133.85,0
365.14,1,9,2,68.0,2,57.0,1.0,5894.09,4
757.41,1,20,0,22.0,3,37.0,1.0,9532.42,1
20.54,1,13,1,51.0,1,72.0,1.0,5327.03,4
475.36,1,31,0,34.0,1,105.0,1.0,2000.6,1
34.74,1,37,0,56.0,2,24.0,1.0,6827.57,0
211.18,1,42,0,73.0,2,90.0,1.0,4069.17,0
61.43,1,31,2,24.0,3,170.0,1.0,1882.77,3
167.44,1,23,1,37.0,0,82.0,1.0,12526.71,2
361.46,1,26,2,21.0,3,83.0,1.0,4737.84,3
378.85,1,41,1,78.0,2,126.0,1.0,2300.53,0
241.11,1,8,1,30.0,0,55.0,1.0,12385.05,2
485.54,1,21,2,19.0,3,148.0,1.0,1533.32,3
321.15,1,20,1,46.0,0,179.0,1.0,7005.05,2
711.3,1,38,1,21.0,3,51.0,1.0,955.4,1
12.23,1,15,0,42.0,1,139.0,1.0,7844.88,2
350.94,1,7,0,20.0,3,64.0,1.0,221.56,3
301.85,1,8,2,54.0,1,25.0,1.0,6586.19,4
29.34,1,21,2,65.0,2,30.0,1.0,3944.82,4
231.71,1,33,1,27.0,3,148.0,1.0,1127.98,3
179.43,1,28,0,58.0,2,244.0,1.0,2626.63,0
36.71,1,17,1,48.0,0,55.0,1.0,6459.38,4
233.24,1,21,0,33.0,1,72.0,1.0,6939.23,2
436.64,1,20,1,31.0,0,111.0,1.0,14365.18,2
870.43,1,20,1,29.0,0,55.0,1.0,10115.18,1
354.4,1,6,0,74.0,2,128.0,1.0,7358.65,0
22.63,1,18,2,53.0,1,112.0,1.0,4438.03,4
182.19,1,23,1,26.0,3,53.0,1.0,1176.1,3
126.81,1,30,1,26.0,1,290.0,1.0,5427.98,2
288.17,1,41,2,37.0,1,50.0,1.0,3653.11,4
118.77,1,1,1,55.0,1,123.0,1.0,2104.82,4
651.82,1,16,0,21.0,3,166.0,1.0,1802.77,1
66.65,1,11,0,37.0,1,33.0,1.0,3559.96,0
98.53,1,10,1,69.0,2,166.0,1.0,3564.8,0
138.95,1,42,2,71.0,2,30.0,1.0,6752.92,4
33.89,1,26,1,26.0,3,177.0,1.0,1444.75,3
23.71,1,1,1,58.0,0,164.0,1.0,10788.89,2
26.06,1,36,0,65.0,0,283.0,1.0,12893.63,2
17.07,1,20,1,27.0,1,44.0,1.0,2798.15,4
703.89,1,35,2,46.0,1,62.0,1.0,3583.67,1
26.55,1,15,0,77.0,2,228.0,1.0,3085.38,0
147.4,1,38,1,42.0,1,259.0,1.0,6797.71,2
202.11,1,22,0,27.0,3,18.0,1.0,746.47,3
308.42,1,26,1,75.0,2,39.0,1.0,5427.81,0
11.18,1,24,0,53.0,1,144.0,1.0,7467.3,0
294.15,1,14,2,38.0,1,136.0,1.0,6362.16,4
139.45,1,4,2,27.0,3,31.0,1.0,1305.76,3
432.63,1,7,0,29.0,0,137.0,1.0,13648.36,2
131.43,1,5,2,43.0,0,65.0,1.0,1337.5,4
516.72,1,23,0,42.0,1,128.0,1.0,2015.69,1
166.13,1,29,0,68.0,0,227.0,1.0,11822.53,2
626.9,1,6,0,23.0,3,146.0,1.0,587.11,1
466.85,1,2,1,56.0,2,165.0,1.0,5422.53,1
788.84,1,31,2,58.0,2,231.0,1.0,1913.73,1
525.28,1,7,0,69.0,2,134.0,1.0,4693.6,0
632.69,1,10,0,80.0,2,76.0,1.0,4363.74,0
124.35,1,28,0,72.0,2,90.0,1.0,3319.76,0
43.85,1,14,0,62.0,2,122.0,1.0,4356.98,0
283.81,1,36,1,28.0,3,29.0,1.0,1519.35,3
168.53,1,37,0,71.0,2,112.0,1.0,5962.58,0
132.84,1,28,0,21.0,3,143.0,1.0,822.73,3
144.77,1,0,2,20.0,3,159.0,1.0,867.32,3
643.22,1,1,0,64.0,0,93.0,1.0,1035.86,1
208.07,1,28,2,32.0,0,36.0,1.0,8478.9,4
295.5,1,23,0,59.0,2,36.0,1.0,6280.66,0
30.23,1,2,0,44.0,0,99.0,1.0,481.13,0
180.24,1,31,1,58.0,1,144.0,1.0,8431.23,2
96.54,1,27,1,58.0,2,95.0,1.0,7182.22,0
101.04,1,35,0,27.0,3,160.0,1.0,1695.57,3
39.66,1,41,1,52.0,1,169.0,1.0,8497.34,2
99.36,1,39,0,40.0,0,46.0,1.0,1272.12,0
123.85,1,19,2,56.0,1,244.0,1.0,3959.62,4
426.93,1,29,0,19.0,3,248.0,1.0,476.19,3
222.39,1,41,2,49.0,1,73.0,1.0,3117.39,4
131.46,1,5,1,67.0,2,258.0,1.0,6642.33,0
268.39,1,24,0,26.0,3,171.0,1.0,136.74,3
353.82,1,25,0,42.0,0,143.0,1.0,705.75,0
364.42,1,7,0,51.0,1,146.0,1.0,8119.73,2
195.12,1,21,0,46.0,0,144.0,1.0,6101.15,2
230.61,1,33,1,80.0,2,204.0,1.0,2561.42,0
242.03,1,9,2,58.0,1,124.0,1.0,4382.73,4
135.03,1,37,0,23.0,3,180.0,1.0,1278.0,3
193.54,1,28,1,80.0,2,267.0,1.0,2929.51,0
266.57,1,12,0,72.0,2,100.0,1.0,7676.92,0
153.4,1,23,0,45.0,1,144.0,1.0,4657.7,0
5.12,1,27,1,34.0,1,90.0,1.0,3293.01,4
119.11,1,11,0,57.0,1,131.0,1.0,7998.25,0
119.72,1,40,1,30.0,1,123.0,1.0,3435.34,4
107.4,1,41,2,58.0,0,32.0,1.0,344.07,4
115.92,1,33,0,53.0,2,57.0,1.0,3897.17,0
438.04,1,30,0,67.0,2,247.0,1.0,5358.95,0
677.29,1,15,2,27.0,1,287.0,1.0,627.79,1
296.0,1,19,1,35.0,0,248.0,1.0,7418.82,2
100.52,1,19,0,50.0,1,110.0,1.0,453.39,0
85.35,1,42,0,66.0,2,166.0,1.0,2173.76,0
79.76,1,33,1,39.0,1,170.0,1.0,6452.14,4
386.38,1,31,2,42.0,1,135.0,1.0,5528.36,4
14.29,1,20,0,34.0,1,150.0,1.0,7016.99,2
293.97,1,31,1,68.0,2,153.0,1.0,7371.85,0
136.32,1,24,2,19.0,3,113.0,1.0,264.83,3
251.06,1,7,2,36.0,0,34.0,1.0,10001.66,4
21.4,1,14,1,34.0,1,258.0,1.0,9594.11,2
73.28,1,4,1,21.0,3,21.0,1.0,1329.41,3
70.23,1,22,0,38.0,0,260.0,1.0,11624.93,2
689.29,1,12,0,22.0,3,100.0,1.0,168.84,1
745.03,1,13,2,28.0,3,231.0,1.0,160.57,1
54.61,1,25,0,58.0,1,160.0,1.0,7135.64,0
54.05,1,21,1,27.0,3,146.0,1.0,469.14,3
107.47,1,2,2,67.0,2,144.0,1.0,7517.5,4
219.63,1,5,0,48.0,0,44.0,1.0,8013.63,2
93.52,1,30,2,51.0,1,97.0,1.0,2791.2,4
376.79,1,25,1,68.0,2,265.0,1.0,7749.14,0
697.32,1,1,2,68.0,2,91.0,1.0,2016.02,1
442.74,1,36,1,23.0,3,136.0,1.0,1790.27,3
623.9,1,38,0,27.0,3,249.0,1.0,711.47,1
63.41,1,13,0,26.0,3,36.0,1.0,1546.22,3
346.85,1,18,0,44.0,0,88.0,1.0,7208.15,2
7.5,1,9,2,63.0,2,36.0,1.0,6485.78,4
206.46,1,41,0,65.0,2,279.0,1.0,3984.38,0
423.11,1,8,0,60.0,1,47.0,1.0,412.78,0
22.46,1,27,2,54.0,2,78.0,1.0,6631.5,4
334.89,1,13,2,21.0,3,260.0,1.0,1661.68,3
144.3,1,28,0,18.0,3,88.0,1.0,312.19,3
366.21,1,28,0,62.0,0,181.0,1.0,10862.99,2
99.11,1,30,2,55.0,2,12.0,1.0,5414.87,4
539.35,1,25,0,55.0,2,127.0,1.0,3919.44,1
188.99,1,28,1,58.0,1,92.0,1.0,7315.34,4
710.14,1,12,0,26.0,3,227.0,1.0,465.63,1
308.68,1,25,2,53.0,0,170.0,1.0,9992.36,2
166.68,1,23,0,57.0,2,139.0,1.0,5141.19,0
66.58,1,33,1,23.0,3,79.0,1.0,1636.32,3
223.43,1,9,1,77.0,2,178.0,1.0,7932.41,0
659.95,1,11,2,60.0,1,114.0,1.0,3927.69,1
634.86,1,6,0,27.0,3,45.0,1.0,588.5,1
654.48,1,8,1,19.0,3,114.0,1.0,6776.41,1
157.97,1,30,1,48.0,0,140.0,1.0,5529.92,2
254.77,1,10,1,57.0,1,57.0,1.0,5994.87,4
795.96,1,33,2,65.0,2,119.0,1.0,5468.58,1
149.25,1,29,0,39.0,1,142.0,1.0,5677.52,0
37.57,1,12,0,57.0,2,42.0,1.0,7739.54,0
448.33,1,1,0,25.0,3,161.0,1.0,922.19,3
8.65,1,19,2,48.0,0,273.0,1.0,10778.35,2
539.81,1,37,2,46.0,1,177.0,1.0,2051.25,1
363.53,1,18,0,63.0,2,142.0,1.0,1038.91,0
358.18,1,4,0,18.0,3,157.0,1.0,619.86,3
167.2,1,35,1,30.0,0,84.0,1.0,11320.83,2
121.91,1,6,1,60.0,0,133.0,1.0,14510.8,2
137.57,1,21,2,54.0,1,70.0,1.0,5103.67,4
534.62,1,28,2,55.0,0,45.0,1.0,13793.53,2
463.92,1,23,2,50.0,1,199.0,1.0,2403.39,4
320.14,1,25,2,60.0,2,96.0,1.0,3075.97,4
214.93,1,0,2,28.0,3,52.0,1.0,7835.4,3
660.02,1,26,1,20.0,3,84.0,1.0,414.43,1
345.81,1,33,1,40.0,1,135.0,1.0,6116.8,4
143.54,1,30,0,71.0,2,80.0,1.0,6067.62,0
541.79,1,23,0,22.0,3,125.0,1.0,1454.08,3
40.57,1,8,1,26.0,3,63.0,1.0,1476.91,3
498.67,1,24,2,28.0,3,244.0,1.0,1719.97,3
227.22,1,12,0,53.0,0,220.0,1.0,832.82,0
59.44,1,6,2,35.0,1,176.0,1.0,5472.03,4
230.46,1,23,2,19.0,3,179.0,1.0,162.53,3
377.12,1,15,0,34.0,1,61.0,1.0,836.67,0
420.28,1,42,1,35.0,0,144.0,1.0,8557.32,2
124.59,1,5,1,27.0,3,171.0,1.0,129.29,3
73.88,1,5,2,39.0,0,34.0,1.0,6474.41,4
245.93,1,14,1,54.0,1,172.0,1.0,7986.63,2
622.41,1,16,0,64.0,0,125.0,1.0,7322.01,2
43.73,1,29,0,34.0,0,145.0,1.0,9929.43,2
770.65,1,17,2,31.0,0,137.0,1.0,7198.8,1
260.31,1,2,1,63.0,0,113.0,1.0,10980.38,2
119.89,1,40,0,67.0,0,60.0,1.0,6697.77,0
106.39,1,41,2,37.0,0,281.0,1.0,9410.99,2
12.04,1,13,2,37.0,1,58.0,1.0,6213.32,4
319.85,1,10,0,60.0,0,148.0,1.0,711.66,0
170.53,1,28,1,24.0,3,58.0,1.0,801.01,3
41.49,1,0,2,24.0,3,13.0,1.0,928.33,3
350.46,1,26,1,51.0,2,165.0,1.0,5839.38,0
33.46,1,39,0,72.0,2,111.0,1.0,3641.07,0
104.79,1,10,0,70.0,0,223.0,1.0,1352.19,0
246.27,1,14,2,29.0,0,141.0,1.0,7299.86,4
48.85,1,9,0,19.0,3,176.0,1.0,1503.56,3
332.0,1,5,0,69.0,2,17.0,1.0,5943.13,0
118.1,1,22,2,54.0,1,167.0,1.0,895.66,4
295.64,1,17,2,21.0,3,82.0,1.0,1061.96,3
514.33,1,30,1,25.0,3,160.0,1.0,1592.94,3
94.59,1,42,2,39.0,0,34.0,1.0,6171.89,4
80.43,1,8,1,59.0,2,157.0,1.0,5987.67,0
54.25,1,41,2,68.0,0,37.0,1.0,14783.33,2
518.85,1,18,2,22.0,3,82.0,1.0,1806.0,3
10.65,1,21,2,54.0,0,161.0,1.0,13240.72,2
107.03,1,24,1,27.0,3,73.0,1.0,1408.07,3
346.11,1,9,1,41.0,1,213.0,1.0,9551.64,2
138.06,1,5,1,44.0,1,159.0,1.0,1070.47,4
158.02,1,27,0,49.0,1,120.0,1.0,9374.24,2
110.49,1,33,2,57.0,0,48.0,1.0,10483.93,4
329.4,1,10,2,34.0,0,68.0,1.0,9588.07,4
635.4,1,10,0,47.0,0,106.0,1.0,1238.11,1
769.97,1,36,1,22.0,3,23.0,1.0,1244.93,1
175.07,1,7,1,26.0,3,169.0,1.0,1040.25,3
7.31,1,19,1,78.0,2,282.0,1.0,5757.67,0
56.12,1,12,0,30.0,0,102.0,1.0,8839.67,2
35.73,1,24,1,65.0,0,87.0,1.0,9073.17,2
3.44,1,13,0,78.0,2,108.0,1.0,7561.33,0
115.11,1,0,2,28.0,1,139.0,1.0,9808.97,4
171.11,1,37,0,57.0,2,171.0,1.0,6324.09,0
408.46,1,33,1,64.0,2,28.0,1.0,3140.79,0
580.71,1,30,0,53.0,1,95.0,1.0,5670.0,1
253.47,1,1,1,20.0,3,238.0,1.0,220.51,3
22.81,1,27,2,62.0,2,75.0,1.0,3634.76,4
810.36,1,8,0,20.0,3,67.0,1.0,9239.12,1
9.83,1,22,0,24.0,3,86.0,1.0,666.42,3
340.05,1,11,0,43.0,1,37.0,1.0,7234.15,0
283.45,1,7,1,27.0,1,127.0,1.0,2049.51,4
100.99,1,27,0,68.0,0,114.0,1.0,8865.27,2
90.88,1,0,1,18.0,3,176.0,1.0,3908.47,3
655.15,1,39,0,26.0,1,264.0,1.0,5587.44,1
320.55,1,25,2,50.0,1,118.0,1.0,438.75,4
41.51,1,31,2,28.0,3,48.0,1.0,609.6,3
235.4,1,11,1,28.0,3,70.0,1.0,818.36,3
159.32,1,39,1,18.0,3,100.0,1.0,304.44,3
20.22,1,17,0,43.0,1,138.0,1.0,5515.32,0
50.4,1,35,1,36.0,0,84.0,1.0,1677.01,4
73.88,1,20,1,53.0,2,131.0,1.0,4055.55,0
119.61,1,36,0,33.0,0,53.0,1.0,9899.94,2
116.58,1,33,1,43.0,1,247.0,1.0,2620.74,4
67.57,1,5,1,37.0,1,107.0,1.0,2766.12,4
326.29,1,10,2,56.0,1,179.0,1.0,8171.26,4
158.56,1,34,0,33.0,0,100.0,1.0,5401.21,2
56.02,1,22,2,27.0,3,142.0,1.0,3548.02,3
504.63,1,32,2,60.0,1,168.0,1.0,3806.16,4
820.15,1,18,1,47.0,0,181.0,1.0,8802.97,1
8.37,1,7,0,63.0,2,135.0,1.0,1106.34,0
637.97,1,27,1,58.0,2,90.0,1.0,7949.03,1
13.52,1,39,0,26.0,3,65.0,1.0,259.77,3
432.1,1,37,0,49.0,1,240.0,1.0,2114.3,0
642.68,1,14,1,50.0,0,94.0,1.0,8461.46,1
139.72,1,22,1,49.0,1,201.0,1.0,5058.83,4
499.99,1,38,1,31.0,1,296.0,1.0,8885.0,1
10.07,1,0,2,24.0,3,49.0,1.0,530.81,3
120.62,1,33,0,23.0,3,85.0,1.0,9379.53,3
578.49,1,26,1,59.0,2,180.0,1.0,6475.13,1
280.92,1,31,2,41.0,0,168.0,1.0,5298.85,4
42.42,1,34,2,21.0,3,102.0,1.0,490.57,3
77.03,1,14,0,67.0,0,259.0,1.0,11310.27,2
22.59,1,39,0,62.0,2,45.0,1.0,3988.75,0
568.76,1,3,0,51.0,2,155.0,1.0,7484.32,1
105.94,1,28,1,51.0,1,207.0,1.0,5963.1,4
183.67,1,36,2,19.0,3,238.0,1.0,910.26,3
278.27,1,40,1,29.0,0,123.0,1.0,6684.34,2
470.3,1,2,0,40.0,0,88.0,1.0,8524.09,2
261.69,1,30,0,53.0,2,84.0,1.0,5126.65,0
365.04,1,41,1,22.0,3,94.0,1.0,873.89,3
211.1,1,24,1,57.0,2,136.0,1.0,7059.77,0
21.49,1,10,0,58.0,0,240.0,1.0,11991.24,2
63.58,1,8,0,18.0,3,199.0,1.0,8086.04,3
321.86,1,35,0,63.0,0,167.0,1.0,12626.49,2
642.54,1,25,1,44.0,1,28.0,1.0,3143.17,1
99.76,1,34,1,26.0,3,131.0,1.0,416.89,3
115.32,1,10,1,53.0,2,113.0,1.0,5929.08,0
33.61,1,25,2,23.0,3,72.0,1.0,479.08,3
98.81,1,37,1,27.0,3,91.0,1.0,797.1,3
1.87,1,42,0,65.0,2,147.0,1.0,7287.94,0
105.53,1,7,2,24.0,3,88.0,1.0,1433.66,3
737.34,1,24,2,30.0,0,34.0,1.0,7336.56,1
237.86,1,30,0,18.0,3,210.0,1.0,475.63,3
409.61,1,18,1,65.0,0,89.0,1.0,11698.15,2
72.75,1,31,0,64.0,0,15.0,1.0,12042.79,2
39.11,1,8,2,26.0,3,143.0,1.0,518.54,3
729.38,1,20,0,68.0,0,90.0,1.0,9127.65,2
137.49,1,13,0,34.0,1,50.0,1.0,4471.05,0
504.71,1,11,2,29.0,1,61.0,1.0,6214.54,4
430.35,1,5,2,36.0,0,205.0,1.0,354.9,4
230.32,1,19,1,35.0,1,56.0,1.0,791.46,4
121.71,1,6,0,52.0,2,140.0,1.0,5878.89,0
98.87,1,11,2,20.0,3,179.0,1.0,533.2,3
117.55,1,14,0,24.0,3,35.0,1.0,897.94,3
244.64,1,40,1,30.0,0,103.0,1.0,9159.56,2
321.93,1,26,0,45.0,1,12.0,1.0,4392.73,0
346.65,1,42,2,30.0,1,60.0,1.0,6356.96,4
388.65,1,28,0,76.0,2,43.0,1.0,7896.85,0
29.22,1,35,0,24.0,3,151.0,1.0,1649.43,3
