TransactionID,AccountID,DeviceID,IPAddress,MerchantID,TransactionDate,Amount,TransactionType,Channel,CustomerAge,CustomerGender,LoginAttempts,AccountBalance,TransactionDuration,IsFraud
TXN000067,ACC7863,DEV725,28.192.112.44,MER25,2024-01-02 09:00:00,37.29,Withdrawal,Web,34.0,Female,5,38347.7,56.0,0
TXN000068,ACC8916,DEV889,68.6.48.136,MER18,2024-01-02 09:30:00,49.68,Payment,POS,48.0,Female,1,858.84,116.0,0
TXN000069,ACC9529,DEV513,164.82.128.137,MER22,2024-01-02 10:00:00,87.94,Withdrawal,POS,,Female,5,61715.14,139.0,0
TXN000070,ACC1878,DEV824,164.72.236.45,MER37,2024-01-02 10:30:00,28.15,Deposit,Web,58.0,Female,2,42828.81,116.0,0
TXN000071,ACC5887,DEV271,106.159.31.5,MER36,2024-01-02 11:00:00,309.84,Withdrawal,Mobile,43.0,Male,5,13138.57,17.0,0
TXN000072,ACC5859,DEV387,176.165.144.73,MER60,2024-01-02 11:30:00,183.07,Transfer,POS,45.0,Male,1,29988.58,277.0,0
TXN000073,ACC7331,DEV534,114.26.53.177,MER73,2024-01-02 12:00:00,13.36,Deposit,ATM,18.0,Female,4,57181.24,237.0,0
TXN000074,ACC9571,DEV785,163.243.250.84,MER61,2024-01-02 12:30:00,157.51,Payment,Web,64.0,Female,4,65842.98,48.0,0
TXN000075,ACC9684,DEV212,127.152.155.110,MER90,2024-01-02 13:00:00,159.05,Payment,ATM,29.0,Male,1,46502.42,77.0,0
TXN000076,ACC8208,DEV987,15.131.92.122,MER47,2024-01-02 13:30:00,469.29,Withdrawal,Mobile,54.0,Female,1,80493.93,265.0,0
TXN000077,ACC6276,DEV221,73.154.153.146,MER74,2024-01-02 14:00:00,0.45,Deposit,Web,72.0,Female,5,11687.82,235.0,0
TXN000078,ACC3062,DEV643,248.91.16.42,MER27,2024-01-02 14:30:00,42.74,Payment,ATM,73.0,Male,3,8912.3,37.0,0
TXN000079,ACC1064,DEV321,121.40.169.177,MER72,2024-01-02 15:00:00,394.23,Payment,ATM,67.0,Male,5,4902.3,72.0,0
TXN000080,ACC9006,DEV730,212.236.167.38,MER60,2024-01-02 15:30:00,403.53,Deposit,Mobile,37.0,Male,1,53814.87,20.0,0
TXN000081,ACC3568,DEV138,113.244.150.110,MER18,2024-01-02 16:00:00,191.26,Deposit,Web,19.0,Male,1,70770.05,154.0,0
TXN000082,ACC6463,DEV596,224.179.46.62,MER22,2024-01-02 16:30:00,217.71,Payment,POS,53.0,Female,2,13486.88,296.0,0
TXN000083,ACC3027,DEV879,225.248.109.68,MER49,2024-01-02 17:00:00,14.39,Withdrawal,POS,32.0,Male,1,64075.09,106.0,0
TXN000084,ACC3695,DEV332,43.175.33.39,MER64,2024-01-02 17:30:00,108.19,Withdrawal,ATM,55.0,Female,4,47956.3,190.0,0
TXN000085,ACC6258,DEV629,203.60.177.194,MER88,2024-01-02 18:00:00,39.51,Withdrawal,Mobile,39.0,Female,1,98740.78,,0
TXN000086,ACC6618,DEV248,62.57.160.74,MER52,2024-01-02 18:30:00,29.99,Transfer,ATM,61.0,Female,5,71888.62,76.0,0
TXN000087,ACC7736,DEV496,16.81.93.47,MER53,2024-01-02 19:00:00,249.35,Deposit,Mobile,67.0,Female,1,65918.6,85.0,0
TXN000088,ACC1391,DEV760,247.137.81.37,MER77,2024-01-02 19:30:00,21.76,Payment,POS,49.0,Male,3,57259.75,65.0,1
TXN000089,ACC6892,DEV737,127.18.163.186,MER42,2024-01-02 20:00:00,94.85,Transfer,ATM,37.0,Female,1,99737.94,22.0,0
TXN000090,ACC4561,DEV401,63.76.247.173,MER33,2024-01-02 20:30:00,418.5,Withdrawal,ATM,53.0,Female,3,98055.69,246.0,0
TXN000091,ACC7184,DEV459,131.201.101.64,MER45,2024-01-02 21:00:00,30.84,Transfer,Mobile,50.0,Female,5,54042.45,62.0,0
TXN000092,ACC4099,DEV337,247.119.90.237,MER19,2024-01-02 21:30:00,572.46,Payment,Web,32.0,Male,2,45790.74,61.0,1
TXN000093,ACC7278,DEV746,8.178.237.233,MER29,2024-01-02 22:00:00,774.78,Payment,Mobile,67.0,Male,5,46480.43,101.0,1
TXN000094,ACC9392,DEV762,209.72.252.133,MER84,2024-01-02 22:30:00,121.66,Deposit,Web,63.0,Male,2,43120.07,219.0,1
TXN000095,ACC4104,DEV335,107.88.38.112,MER21,2024-01-02 23:00:00,27.98,Withdrawal,POS,,Male,2,53374.13,16.0,0
TXN000096,ACC8215,DEV835,188.27.96.181,MER71,2024-01-02 23:30:00,56.99,Withdrawal,ATM,46.0,Male,3,27721.63,15.0,0
TXN000097,ACC3454,DEV302,37.136.81.55,MER27,2024-01-03 00:00:00,82.88,Transfer,ATM,64.0,Female,4,92715.48,167.0,0
TXN000098,ACC9996,DEV355,187.84.1.188,MER72,2024-01-03 00:30:00,55.51,Withdrawal,Mobile,44.0,Male,2,49277.89,287.0,0
TXN000099,ACC3731,DEV697,58.106.122.187,MER93,2024-01-03 01:00:00,49.41,Transfer,Mobile,22.0,Female,5,84279.78,221.0,0
TXN000100,ACC9154,DEV761,230.249.167.163,MER34,2024-01-03 01:30:00,537.57,Payment,POS,73.0,Male,3,47792.72,245.0,0
TXN000101,ACC6056,DEV334,114.251.106.36,MER21,2024-01-03 02:00:00,24.97,Payment,POS,48.0,Female,4,71969.88,49.0,0
TXN000102,ACC9110,DEV444,79.91.17.97,MER30,2024-01-03 02:30:00,198.26,Payment,Web,39.0,Male,5,34019.76,85.0,0
TXN000103,ACC4840,DEV633,63.149.138.185,MER34,2024-01-03 03:00:00,0.06,Payment,POS,52.0,Female,4,62668.28,259.0,0
TXN000104,ACC2028,DEV959,185.204.3.213,MER20,2024-01-03 03:30:00,136.02,Payment,POS,71.0,Male,5,50087.96,71.0,0
TXN000105,ACC8385,DEV896,135.60.106.53,MER73,2024-01-03 04:00:00,371.44,Transfer,POS,24.0,Female,1,37027.87,106.0,0
TXN000106,ACC1502,DEV880,88.67.219.206,MER82,2024-01-03 04:30:00,50.94,Payment,POS,23.0,Female,2,88214.85,95.0,0
TXN000107,ACC7910,DEV565,129.54.2.205,MER59,2024-01-03 05:00:00,30.78,Transfer,Web,43.0,Female,1,11714.81,46.0,0
TXN000108,ACC7938,DEV869,166.241.120.128,MER71,2024-01-03 05:30:00,158.19,Payment,POS,71.0,Female,1,48948.85,280.0,0
TXN000109,ACC5488,DEV640,102.37.84.239,MER98,2024-01-03 06:00:00,187.03,Transfer,Web,18.0,Female,1,19839.72,278.0,1
TXN000110,ACC1206,DEV312,157.132.240.201,MER58,2024-01-03 06:30:00,174.73,Transfer,Mobile,36.0,Female,2,86174.98,81.0,0
TXN000111,ACC6134,DEV562,92.20.241.198,MER23,2024-01-03 07:00:00,57.7,Transfer,ATM,24.0,Male,3,25720.2,238.0,1
TXN000112,ACC6977,DEV535,195.108.46.83,MER10,2024-01-03 07:30:00,43.59,Withdrawal,Mobile,53.0,Male,3,,206.0,0
TXN000113,ACC8721,DEV382,83.34.195.68,MER90,2024-01-03 08:00:00,468.26,Transfer,POS,29.0,Female,3,16973.57,225.0,0
TXN000114,ACC8035,DEV661,129.195.139.187,MER34,2024-01-03 08:30:00,385.18,Transfer,ATM,37.0,Female,1,40788.91,266.0,0
TXN000115,ACC2484,DEV706,27.55.233.22,MER68,2024-01-03 09:00:00,91.68,Payment,POS,40.0,Female,4,89986.04,43.0,0
TXN000116,ACC8858,DEV562,153.20.60.62,MER81,2024-01-03 09:30:00,280.81,Transfer,POS,42.0,Female,1,17023.41,15.0,0
TXN000117,ACC1863,DEV506,122.51.87.152,MER78,2024-01-03 10:00:00,90.31,Transfer,Mobile,47.0,Female,2,66487.98,116.0,0
TXN000118,ACC3790,DEV187,237.54.45.31,MER14,2024-01-03 10:30:00,82.85,Deposit,POS,46.0,Female,3,20848.78,112.0,1
TXN000119,ACC8408,DEV143,55.95.132.35,MER28,2024-01-03 11:00:00,25.58,Withdrawal,Mobile,48.0,Female,2,41867.03,98.0,1
TXN000120,ACC9755,DEV560,110.233.176.105,MER32,2024-01-03 11:30:00,83.38,Deposit,POS,35.0,Male,1,54291.38,88.0,1
TXN000121,ACC6116,DEV377,58.38.79.96,MER18,2024-01-03 12:00:00,115.64,Payment,Web,58.0,Female,1,57941.99,62.0,1
TXN000122,ACC7019,DEV782,113.212.60.136,MER59,2024-01-03 12:30:00,3.41,Withdrawal,ATM,36.0,Female,5,60449.88,297.0,0
TXN000123,ACC2757,DEV520,6.242.108.34,MER25,2024-01-03 13:00:00,88.08,Withdrawal,Mobile,71.0,Male,3,64193.08,20.0,0
TXN000124,ACC8574,DEV800,39.149.168.117,MER42,2024-01-03 13:30:00,228.05,Deposit,Mobile,21.0,Male,1,27540.99,97.0,0
TXN000125,ACC7374,DEV452,5.169.86.208,MER11,2024-01-03 14:00:00,170.94,Withdrawal,ATM,18.0,Female,1,40436.06,169.0,0
TXN000126,ACC7892,DEV795,76.214.207.194,MER23,2024-01-03 14:30:00,151.24,Deposit,Mobile,58.0,Male,2,,219.0,0
TXN000127,ACC2678,DEV614,158.56.126.213,MER10,2024-01-03 15:00:00,360.45,Transfer,ATM,32.0,Male,3,76991.32,148.0,1
TXN000128,ACC4242,DEV802,201.28.238.164,MER67,2024-01-03 15:30:00,2.73,Deposit,Web,71.0,Male,1,83791.4,278.0,0
TXN000129,ACC5636,DEV729,87.140.159.45,MER98,2024-01-03 16:00:00,122.14,Withdrawal,POS,25.0,Female,1,20324.06,142.0,0
TXN000130,ACC2059,DEV118,116.238.111.150,MER25,2024-01-03 16:30:00,232.22,Withdrawal,Web,32.0,Female,2,20543.67,208.0,0
TXN000131,ACC7668,DEV122,45.144.246.103,MER88,2024-01-03 17:00:00,116.92,Payment,POS,32.0,Male,1,4682.62,214.0,0
TXN000132,ACC4157,DEV512,85.193.228.133,MER56,2024-01-03 17:30:00,58.71,Payment,ATM,67.0,Female,2,97053.19,23.0,0
TXN000133,ACC6915,DEV129,108.17.93.149,MER53,2024-01-03 18:00:00,21.97,Payment,Web,56.0,Female,5,80815.06,298.0,1
TXN000134,ACC3693,DEV906,246.32.157.208,MER89,2024-01-03 18:30:00,327.8,Payment,POS,39.0,Female,1,36389.97,297.0,1
TXN000135,ACC4627,DEV207,126.234.159.169,MER23,2024-01-03 19:00:00,95.45,Withdrawal,ATM,35.0,Male,4,48449.87,166.0,0
TXN000136,ACC6450,DEV466,243.205.121.137,MER33,2024-01-03 19:30:00,315.7,Payment,POS,33.0,Male,2,29550.71,134.0,0
TXN000137,ACC2663,DEV380,239.251.114.163,MER64,2024-01-03 20:00:00,132.23,Deposit,Mobile,19.0,Male,1,59925.77,48.0,0
TXN000138,ACC6592,DEV227,162.200.233.27,MER24,2024-01-03 20:30:00,168.22,Transfer,Mobile,53.0,Male,1,71872.19,87.0,0
TXN000139,ACC8392,DEV328,11.205.166.246,MER92,2024-01-03 21:00:00,244.65,Withdrawal,ATM,37.0,Female,4,45013.16,128.0,1
TXN000140,ACC2306,DEV210,47.245.126.146,MER81,2024-01-03 21:30:00,161.45,Payment,POS,33.0,Female,5,87422.62,31.0,0
TXN000141,ACC7776,DEV235,118.142.125.155,MER43,2024-01-03 22:00:00,76.14,Withdrawal,Mobile,20.0,Female,2,51944.07,11.0,0
TXN000142,ACC6864,DEV461,152.71.106.252,MER11,2024-01-03 22:30:00,108.12,Payment,Web,73.0,Male,1,14853.2,203.0,0
TXN000143,ACC8526,DEV285,137.174.32.189,MER36,2024-01-03 23:00:00,243.72,Withdrawal,POS,47.0,Male,1,62417.99,116.0,1
TXN000144,ACC9901,DEV755,225.18.194.73,MER83,2024-01-03 23:30:00,70.18,Payment,POS,72.0,Female,2,46491.98,93.0,0
TXN000145,ACC6575,DEV683,168.174.233.192,MER96,2024-01-04 00:00:00,73.68,Transfer,Mobile,,Male,1,93599.35,132.0,0
TXN000146,ACC6530,DEV228,157.177.97.242,MER81,2024-01-04 00:30:00,15.09,Payment,Mobile,52.0,Male,2,39493.45,234.0,0
TXN000147,ACC5413,DEV975,141.245.128.161,MER32,2024-01-04 01:00:00,369.03,Deposit,ATM,43.0,Female,5,40585.14,22.0,0
TXN000148,ACC4748,DEV360,93.175.238.204,MER77,2024-01-04 01:30:00,14.32,Withdrawal,POS,74.0,Male,3,65251.95,293.0,0
TXN000149,ACC1663,DEV614,48.176.244.63,MER23,2024-01-04 02:00:00,156.71,Withdrawal,Web,22.0,Male,5,52935.13,165.0,0
TXN000150,ACC2998,DEV548,61.156.38.127,MER72,2024-01-04 02:30:00,79.96,Deposit,Mobile,19.0,Female,1,37757.76,285.0,1
TXN000151,ACC8994,DEV203,88.25.16.70,MER74,2024-01-04 03:00:00,78.04,Deposit,POS,68.0,Male,1,98982.55,170.0,0
TXN000152,ACC2495,DEV582,13.68.25.48,MER77,2024-01-04 03:30:00,170.71,Transfer,Mobile,73.0,Female,2,30567.46,264.0,0
TXN000153,ACC4304,DEV323,195.6.57.48,MER72,2024-01-04 04:00:00,10.42,Withdrawal,ATM,37.0,Female,1,,194.0,0
TXN000154,ACC4763,DEV931,103.52.192.240,MER90,2024-01-04 04:30:00,135.1,Transfer,POS,51.0,Male,5,86510.55,270.0,0
TXN000155,ACC6232,DEV973,62.16.170.24,MER96,2024-01-04 05:00:00,221.78,Withdrawal,POS,51.0,Female,1,835.61,295.0,0
TXN000156,ACC2853,DEV965,251.252.130.206,MER73,2024-01-04 05:30:00,264.22,Withdrawal,ATM,71.0,Male,4,20524.69,283.0,0
TXN000157,ACC7585,DEV590,29.116.234.159,MER41,2024-01-04 06:00:00,28.05,Transfer,Web,73.0,Male,1,59249.45,221.0,0
TXN000158,ACC2291,DEV572,26.123.143.24,MER88,2024-01-04 06:30:00,341.57,Withdrawal,Mobile,72.0,Male,1,16663.83,211.0,0
TXN000159,ACC4581,DEV109,54.155.72.119,MER22,2024-01-04 07:00:00,160.13,Withdrawal,ATM,37.0,Male,4,98587.49,157.0,1
TXN000160,ACC8554,DEV504,56.64.92.248,MER75,2024-01-04 07:30:00,320.38,Transfer,POS,67.0,Male,5,46687.46,185.0,1
TXN000161,ACC8280,DEV995,86.79.168.242,MER28,2024-01-04 08:00:00,99.62,Payment,ATM,42.0,Male,5,59937.73,216.0,0
TXN000162,ACC2636,DEV401,108.178.117.232,MER33,2024-01-04 08:30:00,117.14,Transfer,POS,37.0,Male,5,16457.16,277.0,0
TXN000163,ACC4696,DEV330,199.205.156.82,MER97,2024-01-04 09:00:00,377.07,Withdrawal,ATM,42.0,Male,4,29293.12,207.0,0
TXN000164,ACC1698,DEV830,147.193.168.172,MER20,2024-01-04 09:30:00,345.25,Deposit,Web,70.0,Male,3,61655.17,209.0,0
TXN000165,ACC5737,DEV165,15.130.138.180,MER68,2024-01-04 10:00:00,89.17,Payment,POS,31.0,Female,3,55180.56,157.0,0
TXN000166,ACC1854,DEV211,174.29.56.231,MER95,2024-01-04 10:30:00,48.12,Deposit,ATM,64.0,Female,4,78544.21,174.0,0
TXN000167,ACC9164,DEV112,146.178.127.47,MER24,2024-01-04 11:00:00,74.93,Payment,Web,61.0,Male,4,27288.7,245.0,1
TXN000168,ACC6855,DEV492,194.223.135.21,MER19,2024-01-04 11:30:00,73.6,Deposit,Web,60.0,Male,5,65527.44,291.0,0
TXN000169,ACC8392,DEV599,6.203.238.184,MER50,2024-01-04 12:00:00,50.71,Payment,Mobile,60.0,Male,5,29452.06,249.0,1
TXN000170,ACC7528,DEV697,104.35.78.219,MER36,2024-01-04 12:30:00,46.92,Transfer,POS,56.0,Female,5,58881.89,84.0,0
TXN000171,ACC6249,DEV333,116.56.48.172,MER69,2024-01-04 13:00:00,296.06,Payment,Mobile,29.0,Female,1,60700.58,96.0,0
TXN000172,ACC6172,DEV701,82.65.76.44,MER82,2024-01-04 13:30:00,10.86,Payment,Web,65.0,Male,3,12622.99,153.0,0
TXN000173,ACC2707,DEV413,246.78.19.191,MER61,2024-01-04 14:00:00,169.8,Payment,Mobile,22.0,Male,1,55088.99,34.0,1
TXN000174,ACC6791,DEV665,221.122.233.220,MER37,2024-01-04 14:30:00,28.46,Withdrawal,Mobile,19.0,Male,1,1687.86,127.0,0
TXN000175,ACC6535,DEV111,67.82.2.181,MER74,2024-01-04 15:00:00,63.35,Deposit,ATM,71.0,Female,2,50370.47,33.0,0
TXN000176,ACC5931,DEV308,206.63.39.58,MER26,2024-01-04 15:30:00,9.53,Transfer,Mobile,33.0,Male,2,69903.43,263.0,0
TXN000177,ACC4510,DEV113,183.61.131.250,MER53,2024-01-04 16:00:00,47.2,Deposit,Web,72.0,Female,2,7746.86,190.0,0
TXN000178,ACC1202,DEV732,60.115.74.121,MER19,2024-01-04 16:30:00,219.43,Deposit,Mobile,47.0,Female,2,93901.73,79.0,0
TXN000179,ACC5218,DEV517,223.106.95.90,MER72,2024-01-04 17:00:00,324.44,Transfer,POS,64.0,Male,2,46146.18,49.0,0
TXN000180,ACC9958,DEV536,158.234.129.61,MER91,2024-01-04 17:30:00,37.56,Withdrawal,ATM,60.0,Female,2,93872.42,73.0,1
TXN000181,ACC5389,DEV476,49.136.91.158,MER56,2024-01-04 18:00:00,93.42,Payment,Web,55.0,Male,4,11186.14,214.0,0
TXN000182,ACC3327,DEV119,124.225.60.247,MER47,2024-01-04 18:30:00,95.32,Withdrawal,Mobile,62.0,Female,1,95015.31,243.0,0
TXN000183,ACC9004,DEV686,207.47.152.163,MER79,2024-01-04 19:00:00,310.22,Withdrawal,POS,68.0,Female,1,11365.11,196.0,0
TXN000184,ACC3931,DEV854,136.200.249.57,MER85,2024-01-04 19:30:00,215.83,Payment,Web,59.0,Male,2,46418.83,107.0,0
